Stock quote and option quote for SPY on 11/8/23 00:30:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
436.93,P,+1.24,436.49, ,436.54, ,"91 x 5,000","64,256,114",435.69,437.585,434.51

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,1.45%,80.32,1.583,Q,9/15/23,459.44,373.61,"856,432,000",1

Theo parameters
Theo date,Theo stock price,Theo volatility
11/6/23, 0.00$, 0.00%

7 NOV 23  (0)  100
,,Theo Price,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Theo Price,Mark,,
,,428.42,46.825,46.22,N,47.43,Q,7 NOV 23,390,0,M,.01,A,346.92,.005,,
,,428.25,45.825,45.22,N,46.43,Q,7 NOV 23,391,0,N,.01,B,346.63,.005,,
,,428.08,44.825,44.22,N,45.43,Q,7 NOV 23,392,0,N,.01,B,346.25,.005,,
,,427.89,43.825,43.22,N,44.43,Q,7 NOV 23,393,0,M,.01,A,345.78,.005,,
,,427.70,42.825,42.22,N,43.43,Q,7 NOV 23,394,0,N,.01,A,345.20,.005,,
,,<empty>,41.480,40.53,Q,42.43,Q,7 NOV 23,395,0,M,.01,A,344.51,.005,,
,,<empty>,40.440,39.45,Q,41.43,Q,7 NOV 23,396,0,N,.01,B,343.70,.005,,
,,<empty>,39.440,38.45,Q,40.43,Q,7 NOV 23,397,0,N,.01,B,342.75,.005,,
,,<empty>,38.440,37.45,Q,39.43,Q,7 NOV 23,398,0,N,.01,B,341.66,.005,,
,,<empty>,37.440,36.45,Q,38.43,Q,7 NOV 23,399,0,M,.01,A,340.40,.005,,
,,426.16,36.825,36.22,N,37.43,Q,7 NOV 23,400,0,M,.01,A,338.97,.005,,
,,425.82,35.825,35.22,N,36.43,Q,7 NOV 23,401,0,M,.01,A,337.35,.005,,
,,425.43,34.825,34.22,N,35.43,Q,7 NOV 23,402,0,M,.01,A,335.53,.005,,
,,425.16,33.840,33.22,N,34.46,Q,7 NOV 23,403,0,M,.01,A,333.49,.005,,
,,424.50,32.825,32.22,N,33.43,Q,7 NOV 23,404,0,N,.01,A,331.20,.005,,
,,423.93,31.825,31.22,N,32.43,Q,7 NOV 23,405,0,M,.01,A,328.66,.005,,
,,423.28,30.825,30.22,N,31.43,Q,7 NOV 23,406,0,A,.01,A,325.84,.005,,
,,422.52,29.825,29.22,N,30.43,Q,7 NOV 23,407,0,M,.01,A,322.73,.005,,
,,421.64,28.825,28.22,N,29.43,Q,7 NOV 23,408,0,N,.01,A,319.30,.005,,
,,420.60,27.825,27.22,N,28.43,Q,7 NOV 23,409,0,N,.01,A,315.52,.005,,
,,419.39,26.825,26.22,N,27.43,Q,7 NOV 23,410,0,M,.01,A,311.39,.005,,
,,417.96,25.825,25.22,N,26.43,Q,7 NOV 23,411,0,M,.01,A,306.87,.005,,
,,416.28,24.825,24.22,N,25.43,Q,7 NOV 23,412,0,N,.01,A,301.94,.005,,
,,414.30,23.825,23.22,N,24.43,Q,7 NOV 23,413,0,M,.01,A,296.57,.005,,
,,412.67,22.840,22.22,N,23.46,Q,7 NOV 23,414,0,M,.01,A,290.75,.005,,
,,410.01,21.840,21.22,N,22.46,Q,7 NOV 23,415,0,N,.01,A,284.45,.005,,
,,406.89,20.840,20.22,N,21.46,Q,7 NOV 23,416,0,M,.01,A,277.64,.005,,
,,403.21,19.840,19.22,N,20.46,Q,7 NOV 23,417,0,M,.01,A,270.31,.005,,
,,398.90,18.840,18.22,N,19.46,Q,7 NOV 23,418,0,M,.01,A,262.43,.005,,
,,393.86,17.840,17.22,N,18.46,Q,7 NOV 23,419,0,M,.01,A,253.97,.005,,
,,387.99,16.840,16.22,N,17.46,Q,7 NOV 23,420,0,M,.01,A,244.93,.005,,
,,381.18,15.840,15.22,N,16.46,Q,7 NOV 23,421,0,M,.01,A,235.27,.005,,
,,373.31,14.840,14.22,N,15.46,Q,7 NOV 23,422,0,M,.01,A,224.99,.005,,
,,<empty>,13.480,12.50,Q,14.46,Q,7 NOV 23,423,0,M,.01,A,214.06,.005,,
,,<empty>,12.520,11.58,C,13.46,Q,7 NOV 23,424,0,A,.01,A,202.48,.005,,
,,<empty>,11.520,10.58,C,12.46,Q,7 NOV 23,425,0,M,.01,A,190.24,.005,,
,,<empty>,10.520,9.58,C,11.46,Q,7 NOV 23,426,0,M,.01,A,177.33,.005,,
,,<empty>,9.490,8.52,Z,10.46,Q,7 NOV 23,427,0,M,.01,A,163.74,.005,,
,,<empty>,8.470,7.48,Q,9.46,Q,7 NOV 23,428,0,M,.01,A,149.49,.005,,
,,<empty>,7.510,6.56,Z,8.46,Q,7 NOV 23,429,0,M,.01,A,134.57,.005,,
,,288.31,7.035,6.61,Q,7.46,Q,7 NOV 23,430,0,Z,.01,N,118.97,.005,,
,,163.50,5.590,4.72,Q,6.46,Q,7 NOV 23,431,0,M,.01,N,102.72,.005,,
,,136.31,4.580,3.83,Q,5.33,Q,7 NOV 23,432,0,J,.01,N,85.79,.005,,
,,218.74,4.080,3.70,Q,4.46,Q,7 NOV 23,433,0,J,.01,N,68.17,.005,,
,,129.00,2.725,2.41,Q,3.04,C,7 NOV 23,434,0,J,.01,N,49.80,.005,,
,,141.56,2.020,1.77,N,2.27,C,7 NOV 23,435,0,M,.01,N,30.56,.005,,
,,84.40,.915,.80,P,1.03,N,7 NOV 23,436,0,M,.01,N,10.29,.005,,
,,26.15,.015,.01,W,.02,P,7 NOV 23,437,.14,Q,.23,Q,<empty>,.185,,
,,43.13,.005,0,J,.01,Q,7 NOV 23,438,1.04,Q,1.61,C,<empty>,1.325,,
,,62.37,.005,0,P,.01,E,7 NOV 23,439,1.14,Q,2.55,C,<empty>,1.845,,
,,80.68,.005,0,P,.01,N,7 NOV 23,440,1.66,T,3.58,C,<empty>,2.620,,
,,98.25,.005,0,M,.01,A,7 NOV 23,441,3.10,Q,4.74,Q,<empty>,3.920,,
,,115.19,.005,0,M,.01,W,7 NOV 23,442,3.97,Z,5.70,Q,<empty>,4.835,,
,,131.55,.005,0,M,.01,A,7 NOV 23,443,4.84,Z,6.64,Q,<empty>,5.740,,
,,147.36,.005,0,M,.01,A,7 NOV 23,444,5.76,C,7.66,Q,<empty>,6.710,,
,,162.63,.005,0,M,.01,A,7 NOV 23,445,6.80,Z,8.75,Q,<empty>,7.775,,
,,177.38,.005,0,A,.01,A,7 NOV 23,446,7.71,C,9.63,Q,<empty>,8.670,,
,,191.61,.005,0,M,.01,A,7 NOV 23,447,9.56,N,10.66,Q,<empty>,10.110,,
,,205.33,.005,0,M,.01,A,7 NOV 23,448,10.56,N,11.75,Q,<empty>,11.155,,
,,218.53,.005,0,M,.01,A,7 NOV 23,449,11.56,N,12.66,Q,<empty>,12.110,,
,,231.20,.005,0,M,.01,A,7 NOV 23,450,12.56,N,13.75,Q,<empty>,13.155,,
,,243.36,.005,0,M,.01,A,7 NOV 23,451,13.56,N,14.75,Q,<empty>,14.155,,
,,255.00,.005,0,N,.01,A,7 NOV 23,452,14.56,N,15.75,Q,<empty>,15.155,,
,,266.13,.005,0,N,.01,A,7 NOV 23,453,15.56,N,16.75,Q,<empty>,16.155,,
,,276.73,.005,0,M,.01,A,7 NOV 23,454,16.56,N,17.75,Q,<empty>,17.155,,
,,286.83,.005,0,N,.01,A,7 NOV 23,455,17.56,N,18.75,Q,<empty>,18.155,,
,,296.41,.005,0,M,.01,B,7 NOV 23,456,18.56,N,19.75,Q,<empty>,19.155,,
,,305.50,.005,0,M,.01,B,7 NOV 23,457,19.56,N,20.75,Q,<empty>,20.155,,
,,314.09,.005,0,N,.01,B,7 NOV 23,458,20.56,N,21.75,Q,<empty>,21.155,,
,,322.20,.005,0,N,.01,B,7 NOV 23,459,21.56,N,22.75,Q,<empty>,22.155,,
,,329.84,.005,0,M,.01,A,7 NOV 23,460,22.56,N,23.75,Q,<empty>,23.155,,
,,337.03,.005,0,N,.01,B,7 NOV 23,461,23.56,N,24.75,Q,<empty>,24.155,,
,,343.77,.005,0,N,.01,B,7 NOV 23,462,24.56,N,25.75,Q,<empty>,25.155,,
,,350.08,.005,0,N,.01,B,7 NOV 23,463,25.56,N,26.75,Q,<empty>,26.155,,
,,355.98,.005,0,N,.01,B,7 NOV 23,464,26.56,N,27.75,Q,<empty>,27.155,,
,,361.50,.005,0,N,.01,B,7 NOV 23,465,26.61,Q,28.75,Q,<empty>,27.680,,
,,366.63,.005,0,N,.01,B,7 NOV 23,466,27.61,Q,29.75,Q,<empty>,28.680,,
,,371.41,.005,0,N,.01,B,7 NOV 23,467,28.61,Q,30.75,Q,<empty>,29.680,,
,,375.85,.005,0,N,.01,B,7 NOV 23,468,30.02,Q,31.75,Q,<empty>,30.885,,
,,379.97,.005,0,N,.01,B,7 NOV 23,469,30.60,Q,32.75,Q,<empty>,31.675,,
,,383.78,.005,0,N,.01,B,7 NOV 23,470,32.03,Q,33.75,Q,<empty>,32.890,,
,,387.31,.005,0,N,.01,B,7 NOV 23,471,33.03,Q,34.75,Q,<empty>,33.890,,
,,390.57,.005,0,N,.01,B,7 NOV 23,472,34.03,Q,35.75,Q,<empty>,34.890,,
,,393.58,.005,0,N,.01,B,7 NOV 23,473,34.63,Q,36.75,Q,<empty>,35.690,,
,,396.36,.005,0,N,.01,B,7 NOV 23,474,35.63,Q,37.75,Q,<empty>,36.690,,
,,398.91,.005,0,N,.01,B,7 NOV 23,475,36.66,Q,38.75,Q,<empty>,37.705,,
,,401.27,.005,0,M,.01,B,7 NOV 23,476,37.63,Q,39.75,Q,<empty>,38.690,,
,,403.43,.005,0,N,.01,B,7 NOV 23,477,38.63,Q,40.75,Q,<empty>,39.690,,
,,405.42,.005,0,N,.01,B,7 NOV 23,478,39.63,Q,41.77,Q,<empty>,40.700,,
,,407.24,.005,0,N,.01,B,7 NOV 23,479,40.63,Q,42.75,Q,<empty>,41.690,,
,,408.91,.005,0,N,.01,B,7 NOV 23,480,41.63,Q,43.74,Q,<empty>,42.685,,
,,410.45,.005,0,N,.01,B,7 NOV 23,481,42.63,Q,44.74,Q,<empty>,43.685,,
,,411.85,.005,0,N,.01,B,7 NOV 23,482,43.65,Q,45.74,Q,<empty>,44.695,,
,,413.14,.005,0,A,.01,B,7 NOV 23,483,44.63,Q,46.74,Q,<empty>,45.685,,
,,414.32,.005,0,N,.01,B,7 NOV 23,484,45.63,Q,47.74,Q,<empty>,46.685,,
,,415.40,.005,0,N,.01,B,7 NOV 23,485,46.63,Q,48.74,Q,<empty>,47.685,,
,,416.39,.005,0,N,.01,B,7 NOV 23,486,47.63,Q,49.74,Q,<empty>,48.685,,
,,417.30,.005,0,N,.01,B,7 NOV 23,487,48.63,Q,50.74,Q,<empty>,49.685,,
,,418.13,.005,0,N,.01,B,7 NOV 23,488,49.62,Q,51.74,Q,<empty>,50.680,,
,,418.89,.005,0,P,.01,B,7 NOV 23,489,50.68,Q,52.77,Q,<empty>,51.725,,
,,419.59,.005,0,N,.01,B,7 NOV 23,490,51.68,H,53.77,Q,<empty>,52.725,,
,,420.23,.005,0,P,.01,B,7 NOV 23,491,52.71,Q,55.53,Q,<empty>,54.120,,

8 NOV 23  (1)  100 (Weeklys)
,,Theo Price,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Theo Price,Mark,,
,,370.93,96.890,96.45,Q,97.33,A,8 NOV 23,340,0,Q,.01,I,184.88,.005,,
,,353.09,86.890,86.45,Q,87.33,Q,8 NOV 23,350,0,Q,.01,X,173.08,.005,,
,,345.26,82.895,82.46,Q,83.33,Z,8 NOV 23,354,0,Q,.01,X,167.81,.005,,
,,343.11,81.895,81.46,Q,82.33,Q,8 NOV 23,355,0,Q,.01,X,166.45,.005,,
,,340.92,80.895,80.46,Q,81.33,A,8 NOV 23,356,0,Q,.01,X,165.06,.005,,
,,338.72,79.895,79.46,Q,80.33,A,8 NOV 23,357,0,Q,.01,X,163.66,.005,,
,,336.45,78.895,78.46,Q,79.33,A,8 NOV 23,358,0,Q,.01,X,162.24,.005,,
,,334.13,77.895,77.46,Q,78.33,A,8 NOV 23,359,0,Q,.01,X,160.79,.005,,
,,331.77,76.895,76.46,Q,77.33,A,8 NOV 23,360,0,Q,.01,X,159.33,.005,,
,,329.38,75.895,75.46,Q,76.33,A,8 NOV 23,361,0,Q,.01,X,157.85,.005,,
,,326.96,74.895,74.46,Q,75.33,A,8 NOV 23,362,0,Q,.01,X,156.35,.005,,
,,324.50,73.895,73.46,Q,74.33,A,8 NOV 23,363,0,Q,.01,X,154.83,.005,,
,,321.96,72.895,72.46,Q,73.33,Q,8 NOV 23,364,0,Q,.01,X,153.29,.005,,
,,319.40,71.895,71.46,Q,72.33,Q,8 NOV 23,365,0,Q,.01,X,151.74,.005,,
,,317.24,70.900,70.46,Q,71.34,A,8 NOV 23,366,0,Q,.01,X,150.16,.005,,
,,314.60,69.900,69.46,Q,70.34,A,8 NOV 23,367,0,Q,.01,X,148.56,.005,,
,,311.92,68.900,68.46,Q,69.34,A,8 NOV 23,368,0,Q,.01,X,146.95,.005,,
,,309.20,67.900,67.46,Q,68.34,A,8 NOV 23,369,0,Q,.01,X,145.32,.005,,
,,306.43,66.900,66.46,Q,67.34,A,8 NOV 23,370,0,Q,.01,X,143.67,.005,,
,,303.62,65.900,65.46,Q,66.34,N,8 NOV 23,371,0,Q,.01,X,142.01,.005,,
,,300.77,64.900,64.46,Q,65.34,N,8 NOV 23,372,0,Q,.01,X,140.32,.005,,
,,297.88,63.900,63.46,Q,64.34,N,8 NOV 23,373,0,Q,.01,X,138.62,.005,,
,,294.95,62.900,62.46,Q,63.34,N,8 NOV 23,374,0,Q,.01,X,136.89,.005,,
,,291.97,61.900,61.46,Q,62.34,N,8 NOV 23,375,0,Q,.01,X,135.16,.005,,
,,288.96,60.900,60.46,Q,61.34,A,8 NOV 23,376,0,Q,.01,X,133.40,.005,,
,,285.90,59.900,59.46,Q,60.34,N,8 NOV 23,377,0,Q,.01,X,131.63,.005,,
,,282.80,58.900,58.46,Q,59.34,A,8 NOV 23,378,0,Q,.01,X,129.83,.005,,
,,279.66,57.900,57.46,Q,58.34,N,8 NOV 23,379,0,Q,.01,X,128.03,.005,,
,,276.47,56.900,56.46,Q,57.34,A,8 NOV 23,380,0,Q,.01,X,126.20,.005,,
,,273.25,55.900,55.46,Q,56.34,A,8 NOV 23,381,0,Q,.01,X,124.35,.005,,
,,269.99,54.900,54.46,Q,55.34,N,8 NOV 23,382,0,Q,.01,X,122.49,.005,,
,,266.68,53.900,53.46,Q,54.34,N,8 NOV 23,383,0,Q,.01,X,120.62,.005,,
,,263.33,52.900,52.46,Q,53.34,N,8 NOV 23,384,0,Q,.01,X,118.72,.005,,
,,259.94,51.900,51.46,Q,52.34,A,8 NOV 23,385,0,Q,.01,X,116.81,.005,,
,,256.51,50.900,50.46,Q,51.34,A,8 NOV 23,386,0,Q,.01,X,114.89,.005,,
,,253.49,49.905,49.47,Q,50.34,Q,8 NOV 23,387,0,M,.01,X,112.94,.005,,
,,249.98,48.905,48.47,Q,49.34,Q,8 NOV 23,388,0,C,.01,X,110.99,.005,,
,,246.42,47.905,47.47,Q,48.34,Q,8 NOV 23,389,0,C,.01,X,109.01,.005,,
,,242.83,46.905,46.47,Q,47.34,Q,8 NOV 23,390,0,Q,.01,X,107.02,.005,,
,,239.21,45.905,45.47,Q,46.34,Q,8 NOV 23,391,0,Q,.01,X,105.01,.005,,
,,236.01,44.910,44.47,Q,45.35,A,8 NOV 23,392,0,Q,.01,X,102.99,.005,,
,,232.24,43.910,43.47,Q,44.35,A,8 NOV 23,393,0,Q,.01,X,100.95,.005,,
,,228.48,42.910,42.47,Q,43.35,A,8 NOV 23,394,0,Q,.01,X,98.90,.005,,
,,224.68,41.910,41.47,Q,42.35,A,8 NOV 23,395,0,Q,.01,N,96.83,.005,,
,,220.83,40.910,40.47,Q,41.35,A,8 NOV 23,396,0,Q,.01,Q,94.74,.005,,
,,216.95,39.910,39.47,Q,40.35,A,8 NOV 23,397,0,Q,.01,N,92.64,.005,,
,,213.02,38.910,38.47,Q,39.35,A,8 NOV 23,398,0,Q,.01,Q,90.53,.005,,
,,209.06,37.910,37.47,Q,38.35,A,8 NOV 23,399,0,Q,.01,N,88.40,.005,,
,,205.05,36.910,36.47,Q,37.35,A,8 NOV 23,400,.01,X,.02,I,97.47,.015,,
,,201.00,35.910,35.47,Q,36.35,A,8 NOV 23,401,.01,X,.02,I,95.15,.015,,
,,196.91,34.910,34.47,Q,35.35,A,8 NOV 23,402,.01,X,.02,I,92.82,.015,,
,,192.78,33.910,33.47,Q,34.35,A,8 NOV 23,403,.01,X,.02,I,90.48,.015,,
,,188.61,32.910,32.47,Q,33.35,A,8 NOV 23,404,.01,X,.02,W,88.12,.015,,
,,184.40,31.910,31.47,Q,32.35,A,8 NOV 23,405,.01,X,.02,W,85.72,.015,,
,,180.14,30.910,30.47,Q,31.35,A,8 NOV 23,406,.01,X,.02,W,83.32,.015,,
,,176.22,29.915,29.48,Q,30.35,X,8 NOV 23,407,.01,X,.02,W,80.89,.015,,
,,171.86,28.915,28.48,Q,29.35,A,8 NOV 23,408,.01,X,.02,I,78.45,.015,,
,,167.47,27.915,27.48,Q,28.35,Q,8 NOV 23,409,.01,X,.02,I,75.47,.015,,
,,163.41,26.920,26.48,Q,27.36,Z,8 NOV 23,410,.01,X,.02,W,72.94,.015,,
,,158.92,25.920,25.48,Q,26.36,A,8 NOV 23,411,.01,X,.02,W,70.39,.015,,
,,154.39,24.920,24.48,Q,25.36,A,8 NOV 23,412,.01,X,.02,W,67.82,.015,,
,,149.80,23.920,23.48,Q,24.36,N,8 NOV 23,413,.01,X,.02,W,65.23,.015,,
,,145.17,22.920,22.48,Q,23.36,A,8 NOV 23,414,.01,X,.02,W,62.63,.015,,
,,140.49,21.920,21.48,Q,22.36,A,8 NOV 23,415,.01,X,.02,W,60.00,.015,,
,,135.76,20.920,20.48,Q,21.36,Q,8 NOV 23,416,.01,X,.02,W,57.37,.015,,
,,130.97,19.920,19.48,Q,20.36,Q,8 NOV 23,417,.01,X,.02,W,54.71,.015,,
,,126.14,18.920,18.48,Q,19.36,Q,8 NOV 23,418,.01,X,.02,X,52.04,.015,,
,,117.53,17.865,17.48,Q,18.25,Q,8 NOV 23,419,.01,X,.02,N,49.35,.015,,
,,112.67,16.865,16.48,Q,17.25,Q,8 NOV 23,420,.01,X,.02,N,46.88,.015,,
,,108.09,15.870,15.49,Q,16.25,Q,8 NOV 23,421,.01,X,.02,N,43.92,.015,,
,,103.11,14.870,14.49,Q,15.25,Q,8 NOV 23,422,.01,I,.02,N,41.18,.015,,
,,101.37,13.925,13.49,Q,14.36,C,8 NOV 23,423,.02,X,.03,I,41.87,.025,,
,,96.15,12.925,12.49,Q,13.36,Z,8 NOV 23,424,.02,X,.03,I,38.90,.025,,
,,99.41,12.100,11.81,Q,12.39,C,8 NOV 23,425,.02,X,.03,I,36.07,.025,,
,,93.29,11.090,10.81,Q,11.37,Q,8 NOV 23,426,.02,X,.03,X,33.02,.025,,
,,80.03,9.925,9.86,Q,9.99,Q,8 NOV 23,427,.02,I,.03,X,29.95,.025,,
,,74.70,8.930,8.86,Q,9.00,Q,8 NOV 23,428,.03,X,.04,W,28.60,.035,,
,,69.23,7.935,7.87,Q,8.00,Q,8 NOV 23,429,.03,X,.04,X,25.33,.035,,
,,63.82,6.945,6.88,Q,7.01,Q,8 NOV 23,430,.04,X,.05,W,23.30,.045,,
,,58.20,5.955,5.89,Q,6.02,Q,8 NOV 23,431,.05,X,.06,W,20.86,.055,,
,,52.88,4.980,4.92,Q,5.04,Q,8 NOV 23,432,.07,X,.08,Q,18.75,.075,,
,,47.82,4.025,3.97,Q,4.08,Q,8 NOV 23,433,.12,X,.13,W,17.56,.125,,
,,43.56,3.120,3.07,Q,3.17,Q,8 NOV 23,434,.22,W,.23,W,16.84,.225,,
,,40.19,2.295,2.27,Q,2.32,N,8 NOV 23,435,.39,X,.40,I,16.06,.395,,
,,37.46,1.575,1.57,N,1.58,N,8 NOV 23,436,.67,I,.68,P,15.30,.675,,
,,35.31,.995,.99,N,1.00,D,8 NOV 23,437,1.09,X,1.10,Q,14.25,1.095,,
,,33.73,.575,.57,Z,.58,P,8 NOV 23,438,1.67,P,1.70,Q,12.62,1.685,,
,,32.32,.295,.29,I,.30,D,8 NOV 23,439,2.36,Q,2.42,Q,<empty>,2.390,,
,,31.68,.145,.14,N,.15,W,8 NOV 23,440,3.18,Q,3.29,Q,<empty>,3.235,,
,,31.13,.065,.06,D,.07,X,8 NOV 23,441,4.10,Q,4.23,Q,<empty>,4.165,,
,,31.74,.035,.03,N,.04,X,8 NOV 23,442,4.99,Q,5.20,P,<empty>,5.095,,
,,33.58,.025,.02,N,.03,I,8 NOV 23,443,6.17,N,6.58,Q,<empty>,6.375,,
,,34.41,.015,.01,X,.02,X,8 NOV 23,444,6.72,Z,7.58,Q,<empty>,7.150,,
,,37.31,.015,.01,Q,.02,I,8 NOV 23,445,7.72,C,8.58,Q,<empty>,8.150,,
,,35.85,.005,0,Q,.01,X,8 NOV 23,446,8.70,Q,9.58,Q,<empty>,9.140,,
,,38.38,.005,0,Q,.01,X,8 NOV 23,447,9.72,C,10.58,Q,<empty>,10.150,,
,,40.90,.005,0,Q,.01,X,8 NOV 23,448,10.99,Q,11.58,Q,<empty>,11.285,,
,,43.40,.005,0,Q,.01,X,8 NOV 23,449,11.69,Z,12.58,Q,<empty>,12.135,,
,,45.87,.005,0,Q,.01,X,8 NOV 23,450,12.72,Z,13.58,Q,<empty>,13.150,,
,,48.33,.005,0,Q,.01,X,8 NOV 23,451,13.69,Q,14.58,Q,<empty>,14.135,,
,,50.78,.005,0,Q,.01,I,8 NOV 23,452,14.72,C,15.58,Q,<empty>,15.150,,
,,53.21,.005,0,Q,.01,X,8 NOV 23,453,15.69,Q,16.58,Q,<empty>,16.135,,
,,55.62,.005,0,Q,.01,X,8 NOV 23,454,16.72,C,17.58,Q,<empty>,17.150,,
,,58.02,.005,0,Q,.01,X,8 NOV 23,455,17.70,Q,18.58,Q,<empty>,18.140,,
,,60.41,.005,0,Q,.01,X,8 NOV 23,456,18.72,C,19.58,Q,<empty>,19.150,,
,,62.78,.005,0,Q,.01,X,8 NOV 23,457,19.70,Q,20.58,Q,<empty>,20.140,,
,,65.14,.005,0,Q,.01,X,8 NOV 23,458,20.72,Q,21.58,Q,<empty>,21.150,,
,,67.48,.005,0,Q,.01,I,8 NOV 23,459,21.72,Q,22.58,Q,<empty>,22.150,,
,,69.81,.005,0,Q,.01,I,8 NOV 23,460,22.72,A,23.58,Q,<empty>,23.150,,
,,72.13,.005,0,Q,.01,I,8 NOV 23,461,23.72,N,24.58,Q,<empty>,24.150,,
,,74.44,.005,0,Q,.01,I,8 NOV 23,462,24.72,N,25.58,Q,<empty>,25.150,,
,,76.73,.005,0,Q,.01,I,8 NOV 23,463,25.72,A,26.58,Q,<empty>,26.150,,
